SRR3437043_Aligned.sortedByCoord.out.bam	SRR3437044_Aligned.sortedByCoord.out.bam	SRR3437051_Aligned.sortedByCoord.out.bam	SRR3437052_Aligned.sortedByCoord.out.bam	SRR3437053_Aligned.sortedByCoord.out.bam	SRR3437054_Aligned.sortedByCoord.out.bam	SRR3437056_Aligned.sortedByCoord.out.bam	SRR3437060_Aligned.sortedByCoord.out.bam
5S_rRNA	0	0	0	1	0	0	0	0
5_8S_rRNA	118	104	95	496	471	341	1952	613
7SK	3	5	0	0	7	1	15	2
A1BG	9	7	0	0	1	4	0	2
A1BG-AS1	22	13	7	3	13	14	11	16
A1CF	0	0	0	0	0	2	0	0
A2M	4707	5621	811	507	813	678	3520	507
A2M-AS1	903	923	86	122	401	246	1446	173
A2ML1	4	3	0	0	1	8	5	4
A2ML1-AS1	1	2	1	1	1	1	0	0
A2ML1-AS2	0	0	0	0	0	0	0	0
A2MP1	4	14	2	0	1	3	1	0
A3GALT2	0	0	0	0	0	0	0	0
A4GALT	99	56	47	38	14	19	46	28
A4GNT	0	0	0	0	0	0	0	0
AA06	0	0	0	0	0	0	0	0
AAAS	150	143	94	133	134	289	131	152
AACS	57	50	52	133	98	189	103	63
AACSP1	1	0	1	0	0	0	0	1
AADAC	0	0	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0	0	1
AADACL2-AS1	0	0	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0
AADACP1	0	0	0	0	0	0	1	0
AADAT	41	58	61	199	194	387	132	223
AAGAB	71	71	111	111	97	162	109	104
AAK1	87	116	117	113	299	450	117	114
AAMDC	64	39	26	49	25	28	107	30
AAMP	238	226	238	337	220	509	293	306
AANAT	0	1	0	0	0	0	0	0
AAR2	109	88	40	90	49	94	91	59
AARD	4	2	0	1	1	1	0	1
AARS1	305	243	141	244	254	511	342	383
AARS1P1	0	0	0	0	0	0	0	0
AARS2	71	66	86	68	72	112	51	76
AARSD1	34	44	58	57	41	61	54	52
AARSD1P1	1	1	0	0	0	0	1	0
AASDH	17	45	27	30	11	45	25	26
AASDHPPT	38	44	57	58	30	55	48	33
AASS	101	154	77	90	59	60	91	46
AATBC	13	11	0	1	0	0	0	1
AATF	98	69	91	75	69	103	116	37
AATK	91	52	117	235	134	212	180	120
ABALON	57	52	80	46	18	42	39	32
ABAT	133	157	209	370	118	126	183	69
ABCA1	32	59	26	30	11	15	46	11
ABCA10	9	14	3	9	9	13	11	7
ABCA11P	2	12	4	5	7	4	10	8
ABCA12	3	1	1	0	2	2	0	6
ABCA13	0	0	0	0	0	0	0	0
ABCA17P	2	3	1	1	0	1	3	6
ABCA2	145	178	288	159	170	302	291	195
ABCA3	66	60	130	83	61	107	143	121
ABCA4	0	1	1	1	0	4	2	4
ABCA5	35	92	121	131	59	65	62	119
ABCA6	10	15	4	10	5	6	21	1
ABCA7	35	60	38	41	36	79	46	46
ABCA8	83	98	36	43	9	12	56	2
ABCA9	6	10	8	16	7	14	15	3
ABCA9-AS1	0	2	0	0	0	0	1	0
ABCB1	20	13	14	17	2	9	23	2
ABCB10	40	43	44	18	22	28	39	41
ABCB10P1	0	0	0	0	0	0	0	0
ABCB10P3	0	0	0	0	0	0	0	0
ABCB10P4	0	0	0	0	0	0	0	0
ABCB11	0	0	0	0	0	0	1	0
ABCB4	3	3	1	1	1	4	6	0
ABCB5	1	0	1	0	0	0	0	0
ABCB6	44	41	53	44	52	83	52	42
ABCB7	29	31	34	38	18	81	58	31
ABCB8	78	69	76	68	97	95	69	93
ABCB9	188	178	77	147	118	320	193	147
ABCC1	174	176	509	312	133	86	185	225
ABCC10	98	97	82	47	47	67	57	40
ABCC11	6	9	6	5	77	75	8	80
ABCC12	0	0	0	0	14	3	0	5
ABCC13	0	0	0	0	0	0	0	1
ABCC2	0	9	4	1	5	9	4	1
ABCC3	73	110	12	7	13	2	10	10
ABCC4	109	212	2487	2649	816	272	537	673
ABCC5	185	199	138	170	356	961	183	244
ABCC5-AS1	0	0	0	1	0	0	0	1
ABCC6	11	9	5	11	2	1	3	3
ABCC6P1	4	8	0	4	0	1	0	10
ABCC6P2	5	2	0	3	0	1	1	1
ABCC8	38	41	38	10	13	21	10	2
ABCC9	39	49	14	9	11	3	15	9
ABCD1	43	34	23	43	24	84	45	41
ABCD1P2	0	0	0	0	0	0	0	0
ABCD1P3	0	0	0	0	0	0	0	0
ABCD1P4	0	0	0	0	0	0	0	0
ABCD1P5	0	0	0	0	0	0	0	0
ABCD2	2	2	0	0	0	0	1	0
ABCD3	90	108	101	69	66	105	68	46
ABCD4	128	121	66	82	67	137	116	108
ABCE1	61	89	134	88	81	104	126	75
ABCF1	158	137	175	143	116	152	210	109
ABCF2	40	32	44	35	29	65	37	40
ABCF2-H2BE1	0	0	0	0	0	0	0	0
ABCF2P1	0	0	0	0	0	0	0	0
ABCF2P2	0	0	0	0	0	0	0	0
ABCF3	130	126	126	105	162	264	165	185
ABCG1	28	24	40	79	45	26	54	68
ABCG2	36	28	21	8	7	16	15	7
ABCG4	6	3	0	0	0	0	0	1
ABCG5	0	1	0	0	0	1	0	2
ABCG8	0	0	0	0	0	1	1	1
ABHD1	15	19	7	23	34	30	33	21
ABHD10	65	60	83	155	103	134	103	70
ABHD11	62	52	172	251	99	151	219	209
ABHD11-AS1	2	4	5	19	19	9	21	22
ABHD12	114	121	111	133	680	298	112	455
ABHD12B	0	1	0	0	0	0	0	0
ABHD13	24	33	39	33	12	29	24	23
ABHD14A	55	35	31	57	39	72	52	51
ABHD14A-ACY1	1	1	1	1	1	3	5	3
ABHD14B	146	125	85	236	214	378	165	169
ABHD15	21	37	20	19	34	17	23	8
ABHD15-AS1	2	1	0	0	1	0	5	0
ABHD16A	31	21	30	22	14	28	25	33
ABHD16B	21	5	14	16	11	17	4	16
ABHD17A	202	160	128	172	141	341	280	223
ABHD17AP1	1	7	4	6	5	14	8	8
ABHD17AP3	2	0	0	1	1	2	0	2
ABHD17AP4	8	4	0	4	4	6	6	4
ABHD17AP5	3	2	1	0	1	2	1	4
ABHD17AP6	4	4	2	5	12	5	24	5
ABHD17AP7	0	0	0	0	0	0	0	0
ABHD17AP8	0	0	0	0	0	0	0	0
ABHD17AP9	0	0	0	0	0	0	0	0
ABHD17B	19	24	24	17	29	41	51	42
ABHD17C	36	40	65	69	120	66	113	71
ABHD18	24	50	12	24	26	33	25	20
ABHD2	270	446	1227	1588	286	320	472	217
ABHD3	18	50	43	32	33	45	28	14
ABHD4	116	68	49	77	80	121	31	111
ABHD5	34	40	34	36	40	61	46	39
ABHD6	24	17	4	12	13	21	20	6
ABHD8	46	27	14	20	9	28	39	10
ABI1	105	121	84	104	62	106	131	78
