SYMBOL	logFC	logCPM	PValue	FDR	test	gene_chr	HGNC.ID	Approved.Symbol	Approved.Name	Status	Previous.Symbols	Synonyms	Chromosome	Accession.Numbers	Entrez.Gene.ID	RefSeq.IDs	Duplicated	hgnc.chr
5_8S_rRNA	3.24402738873337	7.41630470726794	0.000779345947579429	0.0126195172051396	1	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7SK	0.860598511940806	1.00438674916618	0.512326057212699	0.758277393115436	0	1	HGNC:10037	RN7SK	RNA, 7SK small nuclear	Approved		7SK	6p12.2	X05490, X04236	125050	NR_001445	FALSE	6
A1BG	-2.11875029723199	0.666005585229177	0.0823775502627861	0.274937936984565	0	19	HGNC:5	A1BG	alpha-1-B glycoprotein	Approved			19q13.43		1	NM_130786	FALSE	19
A1BG-AS1	-0.652811584538338	2.25020336090533	0.344231760428037	0.618046098148304	0	19	HGNC:37133	A1BG-AS1	A1BG antisense RNA 1	Approved	NCRNA00181, A1BGAS, A1BG-AS	FLJ23569	19q13.43	BC040926	503538	NR_015380	FALSE	19
A2M	-1.42251840764649	9.40499849260819	0.0580297887934299	0.221393292482221	0	12	HGNC:7	A2M	alpha-2-macroglobulin	Approved		FWP007, S863-7, CPAMD5	12p13.31	BX647329, X68728, M11313	2	NM_000014	FALSE	12
A2M-AS1	-0.232352973060079	7.41368519997364	0.766151300445447	0.920547198439926	0	12	HGNC:27057	A2M-AS1	A2M antisense RNA 1 (head to head)	Approved			12p13.31		144571	NR_026971	FALSE	12
A2ML1	0.699179293174844	0.728026716979749	0.503000587084205	0.751059670871399	0	12	HGNC:23336	A2ML1	alpha-2-macroglobulin like 1	Approved	CPAMD9	FLJ25179, p170	12p13.31	AK057908	144568	NM_144670	FALSE	12
A2MP1	-2.27437690806976	0.735222492943362	0.0875719638997446	0.284698760740477	0	12	HGNC:8	A2MP1	alpha-2-macroglobulin pseudogene 1	Approved	A2MP		12p13.31	M24415	3	NG_001067	FALSE	12
A4GALT	-1.39653732051156	3.89277055243219	0.0273006305835854	0.139612369863118	0	22	HGNC:18149	A4GALT	alpha 1,4-galactosyltransferase (P blood group)	Approved	P1	A14GALT, Gb3S, P(k)	22q13.2		53947	NM_017436	FALSE	22
AAAS	0.330421346205722	5.66140074780557	0.488097882796484	0.740224920208329	0	12	HGNC:13666	AAAS	aladin WD repeat nucleoporin	Approved			12q13.13	AJ289841	8086		FALSE	12
AACS	1.26241668272398	4.95223170692387	0.025980685686228	0.135635902135756	0	12	HGNC:21298	AACS	acetoacetyl-CoA synthetase	Approved		FLJ12389, SUR-5, ACSF1	12q24.31	AK022451	65985	NM_023928	FALSE	12
AADAT	2.19210529305695	5.75884095330987	0.00108149993206479	0.0155482653036645	1	4	HGNC:17929	AADAT	aminoadipate aminotransferase	Approved		KATII, KAT2, KYAT2	4q33	AF097994	51166	NM_016228	FALSE	4
AAGAB	0.754093562802728	5.14047955099751	0.0714372594009793	0.252116678317137	0	15	HGNC:25662	AAGAB	alpha and gamma adaptin binding protein	Approved		FLJ11506, p34	15q23	AL136715	79719	NM_024666	FALSE	15
AAK1	1.27919053060383	5.873623492095	0.0585195728665694	0.222629078604574	0	2	HGNC:19679	AAK1	AP2 associated kinase 1	Approved		KIAA1048, DKFZp686K16132	2p13.3	AB028971	22848	NM_014911	FALSE	2
AAMDC	0.256025124297179	3.95728521377805	0.714782290039799	0.89190929673958	0	11	HGNC:30205	AAMDC	adipogenesis associated Mth938 domain containing	Approved	C11orf67	PTD015, FLJ21035, CK067	11q14.1	BC016854	28971	NM_024684	FALSE	11
