SYMBOL	logFC	logCPM	PValue	FDR	test	gene_chr	HGNC.ID	Approved.Symbol	Approved.Name	Status	Previous.Symbols	Synonyms	Chromosome	Accession.Numbers	Entrez.Gene.ID	RefSeq.IDs	Duplicated	hgnc.chr
A1BG-AS1	-0.0293937298447951	0.496334002491434	1	1	0	chr19	HGNC:37133	A1BG-AS1	A1BG antisense RNA 1	Approved	NCRNA00181, A1BGAS, A1BG-AS	FLJ23569	19q13.43	BC040926	503538	NR_015380	FALSE	chr19
A1CF	0.448608658055122	6.35119891819411	1.1221063040126e-13	1.21261484241836e-12	1	chr10	HGNC:24086	A1CF	APOBEC1 complementation factor	Approved		ACF, ASP, ACF64, ACF65, APOBEC1CF	10q11.23	AF271790	29974	NM_014576	FALSE	chr10
A4GALT	-0.571566616896812	1.70611796215001	0.0385303812638574	0.0782381989756952	0	chr22	HGNC:18149	A4GALT	alpha 1,4-galactosyltransferase (P blood group)	Approved	P1	A14GALT, Gb3S, P(k)	22q13.2		53947	NM_017436	FALSE	chr22
AAAS	0.285262889947369	6.19539586947702	8.09830481895857e-06	3.74884516982124e-05	1	chr12	HGNC:13666	AAAS	aladin WD repeat nucleoporin	Approved			12q13.13	AJ289841	8086		FALSE	chr12
AACS	-0.19490782805418	5.12657277821963	0.0207853561257614	0.0462388096691305	-1	chr12	HGNC:21298	AACS	acetoacetyl-CoA synthetase	Approved		FLJ12389, SUR-5, ACSF1	12q24.31	AK022451	65985	NM_023928	FALSE	chr12
AACSP1	2.03320349224582	0.196707060223926	0.00437675907725813	0.0118629046755171	1	chr5	HGNC:18226	AACSP1	acetoacetyl-CoA synthetase pseudogene 1	Approved	AACSL		5q35.3		729522	NR_024035	FALSE	chr5
AADAC	-1.05006067106711	2.20271021427298	7.95551162972045e-06	3.69346496986803e-05	-1	chr3	HGNC:17	AADAC	arylacetamide deacetylase	Approved		DAC, CES5A1	3q25.1	L32179	13	NM_001086	FALSE	chr3
AADACP1	-2.00533113390125	3.25126128820785	1.73456600480202e-30	4.69842740748708e-29	-1	chr3	HGNC:50305	AADACP1	arylacetamide deacetylase pseudogene 1	Approved			3q25.1		201651		FALSE	chr3
AADAT	-0.262695036372499	4.16976542690306	0.0342716964877241	0.0708307636141883	0	chr4	HGNC:17929	AADAT	aminoadipate aminotransferase	Approved		KATII, KAT2, KYAT2	4q33	AF097994	51166	NM_016228	FALSE	chr4
AAED1	-0.0498419121302157	4.18884868557897	0.700050832446613	0.800434533102159	0	chr9	HGNC:16881	AAED1	AhpC/TSA antioxidant enzyme domain containing 1	Approved	C9orf21		9q22.33	BK000255	195827	NM_153698	FALSE	chr9
AAGAB	-0.112405612359056	6.9276630138195	0.0312464816405282	0.0655554370613154	0	chr15	HGNC:25662	AAGAB	alpha and gamma adaptin binding protein	Approved		FLJ11506, p34	15q23	AL136715	79719	NM_024666	FALSE	chr15
AAK1	-0.281251294484641	6.82150223055613	2.62690139687516e-07	1.5045692955723e-06	-1	chr2	HGNC:19679	AAK1	AP2 associated kinase 1	Approved		KIAA1048, DKFZp686K16132	2p13.3	AB028971	22848	NM_014911	FALSE	chr2
